Toxicant,strain1,strain2,Relative.Potency.Estimate,SE,t.value,p.value,Fraction.Comparison,p...0.05
Cadmium chloride,CB4855,CB4856,0.679463153,0.066989888,-4.784854186,0.000002,10-Oct,T
Cadmium chloride,CB4855,ECA36,0.722852361,0.073547045,-3.768304209,0.000168,10-Oct,T
Cadmium chloride,CB4855,ECA396,0.597225585,0.05737374,-7.020187556,<< 0.00001,10-Oct,T
Cadmium chloride,CB4855,MY16,0.656113149,0.065316282,-5.264948363,<< 0.00001,10-Oct,T
Cadmium chloride,CB4855,N2,0.536660368,0.049585418,-9.344271922,<< 0.00001,10-Oct,T
Cadmium chloride,CB4855,RC301,0.580728385,0.055686203,-7.529183102,<< 0.00001,10-Oct,T
Cadmium chloride,CB4855,XZ1516,0.708323649,0.071534381,-4.077428899,0.000047,10-Oct,T
Cadmium chloride,CB4856,ECA36,1.063858074,0.078882445,0.809534669,0.418272,10-Oct,F
Cadmium chloride,CB4856,ECA396,0.878966847,0.057860332,-2.091815757,0.036539,10-Oct,T
Cadmium chloride,CB4856,MY16,0.965634628,0.068295322,-0.503187789,0.614869,10-Oct,F
Cadmium chloride,CB4856,N2,0.789829979,0.047405035,-4.433495721,0.00001,10-Oct,T
Cadmium chloride,CB4856,RC301,0.85468709,0.055830839,-2.602735577,0.009294,10-Oct,T
Cadmium chloride,CB4856,XZ1516,1.042475439,0.076016434,0.558766535,0.576363,10-Oct,F
Cadmium chloride,ECA36,ECA396,0.826206867,0.058106326,-2.990950292,0.002804,10-Oct,T
Cadmium chloride,ECA36,MY16,0.907672416,0.068294895,-1.351895842,0.176511,10-Oct,F
Cadmium chloride,ECA36,N2,0.74242044,0.048791871,-5.279149053,<< 0.00001,10-Oct,T
Cadmium chloride,ECA36,RC301,0.803384503,0.056667201,-3.469652508,0.000528,10-Oct,T
Cadmium chloride,ECA36,XZ1516,0.979900858,0.07535872,-0.266712893,0.789709,10-Oct,F
Cadmium chloride,ECA396,MY16,1.098601877,0.073846883,1.335220572,0.181906,10-Oct,F
Cadmium chloride,ECA396,N2,0.898589045,0.050393752,-2.012371597,0.04427,10-Oct,T
Cadmium chloride,ECA396,RC301,0.972376937,0.059990002,-0.460461108,0.645219,10-Oct,F
Cadmium chloride,ECA396,XZ1516,1.186023618,0.082209747,2.262792739,0.02372,10-Oct,T
Cadmium chloride,MY16,N2,0.817938748,0.05048921,-3.605943792,0.000316,10-Oct,T
Cadmium chloride,MY16,RC301,0.885104019,0.059197514,-1.940891983,0.052365,10-Oct,F
Cadmium chloride,MY16,XZ1516,1.079575451,0.080055544,0.994003003,0.320302,10-Oct,F
Cadmium chloride,N2,RC301,1.082115281,0.059963478,1.369421589,0.17097,10-Oct,F
Cadmium chloride,N2,XZ1516,1.319873222,0.084835133,3.770527731,0.000166,10-Oct,T
Cadmium chloride,RC301,XZ1516,1.219715907,0.084426125,2.602463479,0.009301,10-Oct,T
Copper(II) chloride,CB4855,CB4856,0.842530606,0.078402633,-2.008470744,0.044667,10-Oct,T
Copper(II) chloride,CB4855,ECA36,1.029589349,0.099547132,0.297239592,0.7663,10-Oct,F
Copper(II) chloride,CB4855,ECA396,1.49834614,0.149176901,3.340638774,0.000844,10-Oct,T
Copper(II) chloride,CB4855,MY16,0.873872129,0.077866206,-1.619802439,0.105361,10-Oct,F
Copper(II) chloride,CB4855,N2,1.096245647,0.103752877,0.927643165,0.353654,10-Oct,F
Copper(II) chloride,CB4855,RC301,1.173623621,0.113660373,1.527565112,0.126707,10-Oct,F
Copper(II) chloride,CB4855,XZ1516,1.12002552,0.109993427,1.0912063,0.275254,10-Oct,F
Copper(II) chloride,CB4856,ECA36,1.222020116,0.112476401,1.973926214,0.048465,10-Oct,T
Copper(II) chloride,CB4856,ECA396,1.778387787,0.169204286,4.600284087,0.000004,10-Oct,T
Copper(II) chloride,CB4856,MY16,1.03719927,0.087090222,0.427134859,0.669306,10-Oct,F
Copper(II) chloride,CB4856,N2,1.30113451,0.116939129,2.575138977,0.010059,10-Oct,T
Copper(II) chloride,CB4856,RC301,1.392974466,0.128494415,3.058299974,0.002242,10-Oct,T
Copper(II) chloride,CB4856,XZ1516,1.329358853,0.124501879,2.645412709,0.008194,10-Oct,T
Copper(II) chloride,ECA36,ECA396,1.455285198,0.143189018,3.179609763,0.001487,10-Oct,T
Copper(II) chloride,ECA36,MY16,0.848757935,0.074612833,-2.027024846,0.042732,10-Oct,T
Copper(II) chloride,ECA36,N2,1.064740664,0.099565491,0.650231956,0.515583,10-Oct,F
Copper(II) chloride,ECA36,RC301,1.139894874,0.109108643,1.282161248,0.199867,10-Oct,F
Copper(II) chloride,ECA36,XZ1516,1.087837128,0.105466151,0.832846624,0.404986,10-Oct,F
Copper(II) chloride,ECA396,MY16,0.583224467,0.05317372,-7.837998359,<< 0.00001,10-Oct,T
Copper(II) chloride,ECA396,N2,0.731637115,0.070584478,-3.802009911,0.000146,10-Oct,T
Copper(II) chloride,ECA396,RC301,0.783279371,0.077149734,-2.809091083,0.004995,10-Oct,T
Copper(II) chloride,ECA396,XZ1516,0.747507863,0.074532839,-3.387662936,0.000712,10-Oct,T
Copper(II) chloride,MY16,N2,1.254469173,0.107461103,2.36801191,0.017936,10-Oct,T
Copper(II) chloride,MY16,RC301,1.343015279,0.118409758,2.896849753,0.003792,10-Oct,T
Copper(II) chloride,MY16,XZ1516,1.281681247,0.114710758,2.455578297,0.014112,10-Oct,T
Copper(II) chloride,N2,RC301,1.070584521,0.100321152,0.703585636,0.481736,10-Oct,F
Copper(II) chloride,N2,XZ1516,1.021692103,0.097053623,0.223506368,0.823154,10-Oct,F
Copper(II) chloride,RC301,XZ1516,0.954331099,0.092701862,-0.492642756,0.622295,10-Oct,F
Methylmercury chloride,CB4855,CB4856,0.994487148,0.146108694,-0.037731168,0.969905,10-Oct,F
Methylmercury chloride,CB4855,ECA36,0.923312562,0.131982436,-0.581042751,0.561269,10-Oct,F
Methylmercury chloride,CB4855,ECA396,0.720289721,0.101879762,-2.745494022,0.00609,10-Oct,T
Methylmercury chloride,CB4855,MY16,1.24163963,0.19919491,1.213081344,0.225225,10-Oct,F
Methylmercury chloride,CB4855,N2,0.854245126,0.11871698,-1.227750853,0.219668,10-Oct,F
Methylmercury chloride,CB4855,RC301,0.665726358,0.093265252,-3.584117731,0.000345,10-Oct,T
Methylmercury chloride,CB4855,XZ1516,0.617352376,0.085600474,-4.470157741,0.000008,10-Oct,T
Methylmercury chloride,CB4856,ECA36,0.928430864,0.129794168,-0.551404866,0.581411,10-Oct,F
Methylmercury chloride,CB4856,ECA396,0.724282584,0.099850141,-2.761312248,0.005803,10-Oct,T
Methylmercury chloride,CB4856,MY16,1.248522549,0.195728196,1.269732996,0.20431,10-Oct,F
Methylmercury chloride,CB4856,N2,0.858980559,0.11661467,-1.20927702,0.226683,10-Oct,F
Methylmercury chloride,CB4856,RC301,0.669416753,0.091903405,-3.597072876,0.000329,10-Oct,T
Methylmercury chloride,CB4856,XZ1516,0.620774615,0.084349604,-4.495876303,0.000007,10-Oct,T
Methylmercury chloride,ECA36,ECA396,0.78011472,0.104412951,-2.105919589,0.035321,10-Oct,T
Methylmercury chloride,ECA36,MY16,1.344766312,0.207273558,1.663339574,0.096383,10-Oct,F
Methylmercury chloride,ECA36,N2,0.92519604,0.121327687,-0.616544846,0.537597,10-Oct,F
Methylmercury chloride,ECA36,RC301,0.721019495,0.095371638,-2.92519359,0.003477,10-Oct,T
Methylmercury chloride,ECA36,XZ1516,0.668627723,0.087341872,-3.793968106,0.000152,10-Oct,T
Methylmercury chloride,ECA396,MY16,1.723805842,0.262839463,2.753794406,0.005938,10-Oct,T
Methylmercury chloride,ECA396,N2,1.185974339,0.153514334,1.211446088,0.225851,10-Oct,F
Methylmercury chloride,ECA396,RC301,0.924248032,0.120863719,-0.626755228,0.530883,10-Oct,F
Methylmercury chloride,ECA396,XZ1516,0.857088971,0.110621158,-1.291895971,0.196525,10-Oct,F
Methylmercury chloride,MY16,N2,0.687997633,0.103686719,-3.009087071,0.002649,10-Oct,T
Methylmercury chloride,MY16,RC301,0.536167131,0.081569562,-5.686347395,<< 0.00001,10-Oct,T
Methylmercury chloride,MY16,XZ1516,0.497207371,0.075140553,-6.691361802,<< 0.00001,10-Oct,T
Methylmercury chloride,N2,RC301,0.779315371,0.099533521,-2.217189015,0.026709,10-Oct,T
Methylmercury chloride,N2,XZ1516,0.722687619,0.09096938,-3.048414554,0.002327,10-Oct,T
Methylmercury chloride,RC301,XZ1516,0.927336539,0.117588668,-0.617946124,0.536673,10-Oct,F
Paraquat,CB4855,CB4856,0.623983499,0.084444505,-4.452823802,0.000009,10-Oct,T
Paraquat,CB4855,ECA36,0.577827424,0.077417041,-5.453225386,<< 0.00001,10-Oct,T
Paraquat,CB4855,ECA396,0.882638937,0.122038771,-0.961670312,0.336315,10-Oct,F
Paraquat,CB4855,MY16,0.883194092,0.122922484,-0.950240381,0.342089,10-Oct,F
Paraquat,CB4855,N2,0.760750441,0.103263807,-2.316877193,0.020597,10-Oct,T
Paraquat,CB4855,RC301,0.918496301,0.130284416,-0.62558287,0.53165,10-Oct,F
Paraquat,CB4855,XZ1516,0.864053829,0.12003218,-1.132581038,0.257507,10-Oct,F
Paraquat,CB4856,ECA36,0.926029974,0.107418945,-0.688612477,0.491136,10-Oct,F
Paraquat,CB4856,ECA396,1.414522881,0.17092246,2.425210128,0.015375,10-Oct,T
Paraquat,CB4856,MY16,1.415412576,0.173288904,2.397225479,0.016598,10-Oct,T
Paraquat,CB4856,N2,1.219183586,0.14381962,1.524017286,0.12764,10-Oct,F
Paraquat,CB4856,RC301,1.471988125,0.184051877,2.564429839,0.010397,10-Oct,T
Paraquat,CB4856,XZ1516,1.384738267,0.169276394,2.272840637,0.023127,10-Oct,T
Paraquat,ECA36,ECA396,1.527513061,0.182141548,2.896170951,0.003813,10-Oct,T
Paraquat,ECA36,MY16,1.528473824,0.18484744,2.858972918,0.004288,10-Oct,T
Paraquat,ECA36,N2,1.316570327,0.153163677,2.066876001,0.038856,10-Oct,T
Paraquat,ECA36,RC301,1.589568551,0.196340831,3.002781178,0.002704,10-Oct,T
Paraquat,ECA36,XZ1516,1.495349292,0.180599314,2.742808271,0.006138,10-Oct,T
Paraquat,ECA396,MY16,1.000628972,0.125786146,0.005000326,0.996011,10-Oct,F
Paraquat,ECA396,N2,0.861904464,0.104384464,-1.322951044,0.185982,10-Oct,F
Paraquat,ECA396,RC301,1.040625178,0.133274981,0.304822236,0.760529,10-Oct,F
Paraquat,ECA396,XZ1516,0.978943703,0.122985377,-0.171209766,0.864074,10-Oct,F
Paraquat,MY16,N2,0.861362692,0.105876761,-1.309421514,0.190521,10-Oct,F
Paraquat,MY16,RC301,1.039971065,0.134756841,0.296616223,0.766786,10-Oct,F
Paraquat,MY16,XZ1516,0.978328362,0.123486847,-0.175497544,0.860704,10-Oct,F
Paraquat,N2,RC301,1.207355595,0.151363267,1.36992019,0.170844,10-Oct,F
Paraquat,N2,XZ1516,1.135791428,0.139500134,0.973414322,0.330449,10-Oct,F
Paraquat,RC301,XZ1516,0.94072652,0.121722928,-0.486954106,0.626337,10-Oct,F
Silver nitrate,CB4855,CB4856,1.312194234,0.133049822,2.346446078,0.019002,10-Oct,T
Silver nitrate,CB4855,ECA36,1.24342767,0.128024207,1.901419079,0.057318,10-Oct,F
Silver nitrate,CB4855,ECA396,0.99672792,0.09241479,-0.035406452,0.971757,10-Oct,F
Silver nitrate,CB4855,MY16,4.193299357,0.494421611,6.458656515,<< 0.00001,10-Oct,T
Silver nitrate,CB4855,N2,1.562436267,0.154815022,3.632956684,0.000284,10-Oct,T
Silver nitrate,CB4855,RC301,1.750990278,0.1903411,3.945497197,0.000081,10-Oct,T
Silver nitrate,CB4855,XZ1516,0.854705664,0.075672383,-1.920044403,0.054923,10-Oct,F
Silver nitrate,CB4856,ECA36,0.947594219,0.106952574,-0.489990836,0.624167,10-Oct,F
Silver nitrate,CB4856,ECA396,0.759588706,0.07891463,-3.046473062,0.00233,10-Oct,T
Silver nitrate,CB4856,MY16,3.19563922,0.401533504,5.468134533,<< 0.00001,10-Oct,T
Silver nitrate,CB4856,N2,1.190705025,0.129654273,1.470873421,0.141403,10-Oct,F
Silver nitrate,CB4856,RC301,1.334398699,0.158099633,2.115113687,0.034481,10-Oct,T
Silver nitrate,CB4856,XZ1516,0.651356059,0.06526573,-5.341914368,<< 0.00001,10-Oct,T
Silver nitrate,ECA36,ECA396,0.801597024,0.084491972,-2.3481873,0.018913,10-Oct,T
Silver nitrate,ECA36,MY16,3.372370954,0.429131547,5.528307047,<< 0.00001,10-Oct,T
Silver nitrate,ECA36,N2,1.256555813,0.138731193,1.849301571,0.064487,10-Oct,F
Silver nitrate,ECA36,RC301,1.408196327,0.169009668,2.415224714,0.01577,10-Oct,T
Silver nitrate,ECA36,XZ1516,0.687378675,0.069792878,-4.479272604,0.000008,10-Oct,T
Silver nitrate,ECA396,MY16,4.20706521,0.502946539,6.376552901,<< 0.00001,10-Oct,T
Silver nitrate,ECA396,N2,1.567565467,0.158799189,3.574108085,0.000356,10-Oct,T
Silver nitrate,ECA396,RC301,1.756738466,0.195842262,3.864020255,0.000113,10-Oct,T
Silver nitrate,ECA396,XZ1516,0.85751151,0.078367669,-1.818205033,0.069107,10-Oct,F
Silver nitrate,MY16,N2,0.372603083,0.045985119,-13.64347711,<< 0.00001,10-Oct,T
Silver nitrate,MY16,RC301,0.417568632,0.05529409,-10.53333843,<< 0.00001,10-Oct,T
Silver nitrate,MY16,XZ1516,0.203826532,0.023734763,-33.54461379,<< 0.00001,10-Oct,T
Silver nitrate,N2,RC301,1.120679489,0.130549081,0.92439938,0.355334,10-Oct,F
Silver nitrate,N2,XZ1516,0.547033938,0.053204034,-8.51375409,<< 0.00001,10-Oct,T
Silver nitrate,RC301,XZ1516,0.488127019,0.052817459,-9.691359426,<< 0.00001,10-Oct,T
Nickel chloride,CB4855,CB4856,1.32345366,0.125474454,2.577844731,0.009991,10-Oct,T
Nickel chloride,CB4855,ECA36,1.005350869,0.094372118,0.056699682,0.954788,10-Oct,F
Nickel chloride,CB4855,ECA396,1.203689634,0.110804935,1.838272215,0.066126,10-Oct,F
Nickel chloride,CB4855,MY16,1.392088436,0.132455273,2.960157252,0.0031,10-Oct,T
Nickel chloride,CB4855,N2,0.983703327,0.091781963,-0.177558555,0.859082,10-Oct,F
Nickel chloride,CB4855,RC301,0.712123845,0.057061617,-5.04500519,<< 0.00001,10-Oct,T
Nickel chloride,CB4855,XZ1516,1.813008186,0.19420841,4.186266625,0.000029,10-Oct,T
Nickel chloride,CB4856,ECA36,0.759641912,0.0561702,-4.279103299,0.000019,10-Oct,T
Nickel chloride,CB4856,ECA396,0.909506445,0.065260833,-1.386644188,0.165658,10-Oct,F
Nickel chloride,CB4856,MY16,1.051860355,0.078383985,0.661619269,0.508268,10-Oct,F
Nickel chloride,CB4856,N2,0.743285056,0.05494893,-4.671882478,0.000003,10-Oct,T
Nickel chloride,CB4856,RC301,0.538079924,0.030037918,-15.37789918,<< 0.00001,10-Oct,T
Nickel chloride,CB4856,XZ1516,1.369906814,0.120266666,3.075721867,0.00212,10-Oct,T
Nickel chloride,ECA36,ECA396,1.197283128,0.082490262,2.391592937,0.01684,10-Oct,T
Nickel chloride,ECA36,MY16,1.384679199,0.097928451,3.92816587,0.000088,10-Oct,T
Nickel chloride,ECA36,N2,0.978467675,0.070056026,-0.307358648,0.758593,10-Oct,F
Nickel chloride,ECA36,RC301,0.708333644,0.037160612,-7.848803927,<< 0.00001,10-Oct,T
Nickel chloride,ECA36,XZ1516,1.80335865,0.150081224,5.352825799,<< 0.00001,10-Oct,T
Nickel chloride,ECA396,MY16,1.156517758,0.079618262,1.96585247,0.049412,10-Oct,T
Nickel chloride,ECA396,N2,0.817240009,0.056673878,-3.224765943,0.001275,10-Oct,T
Nickel chloride,ECA396,RC301,0.591617494,0.02915466,-14.00745217,<< 0.00001,10-Oct,T
Nickel chloride,ECA396,XZ1516,1.506209022,0.12355171,4.09714298,0.000043,10-Oct,T
Nickel chloride,MY16,N2,0.706638531,0.050893732,-5.764196473,<< 0.00001,10-Oct,T
Nickel chloride,MY16,RC301,0.511550722,0.026982643,-18.10235086,<< 0.00001,10-Oct,T
Nickel chloride,MY16,XZ1516,1.302365668,0.105104002,2.876823543,0.004047,10-Oct,T
Nickel chloride,N2,RC301,0.723921354,0.038158369,-7.235074528,<< 0.00001,10-Oct,T
Nickel chloride,N2,XZ1516,1.843043666,0.157482996,5.353236145,<< 0.00001,10-Oct,T
Nickel chloride,RC301,XZ1516,2.545916978,0.177484233,8.710165148,<< 0.00001,10-Oct,T
Zinc chloride,CB4855,CB4856,1.163164779,0.089321861,1.826706003,0.067866,10-Oct,F
Zinc chloride,CB4855,ECA36,0.968402011,0.065748676,-0.480587458,0.630853,10-Oct,F
Zinc chloride,CB4855,ECA396,1.407079217,0.107789539,3.776611523,0.000163,10-Oct,T
Zinc chloride,CB4855,MY16,1.005843115,0.068724019,0.085022891,0.93225,10-Oct,F
Zinc chloride,CB4855,N2,0.948560512,0.067843758,-0.758205161,0.448401,10-Oct,F
Zinc chloride,CB4855,RC301,1.141673657,0.078389299,1.807308639,0.070837,10-Oct,F
Zinc chloride,CB4855,XZ1516,1.154692325,0.079259718,1.951714306,0.051087,10-Oct,F
Zinc chloride,CB4856,ECA36,0.832557887,0.064131777,-2.610907119,0.009086,10-Oct,T
Zinc chloride,CB4856,ECA396,1.209698954,0.101695877,2.062020219,0.039312,10-Oct,T
Zinc chloride,CB4856,MY16,0.864746881,0.066923502,-2.021010774,0.043388,10-Oct,T
Zinc chloride,CB4856,N2,0.815499686,0.065365075,-2.822613038,0.004802,10-Oct,T
Zinc chloride,CB4856,RC301,0.981523579,0.076206028,-0.242453533,0.808449,10-Oct,F
Zinc chloride,CB4856,XZ1516,0.992716033,0.077042148,-0.094545227,0.924684,10-Oct,F
